Supermarket,Locality,Product_Name,Category,Date,Day_of_Week,Quantity_Sold,Price_per_kg,Discounted_Price,Holiday,Weather,Promotion
FreshMart,Indiranagar,Apples,Fruit,02-01-2024,Tuesday,155,60 INR,60 INR,Yes,Cloudy,No
FreshMart,Indiranagar,Cabbage,Vegetable,02-01-2024,Tuesday,99,20 INR,20 INR,Yes,Clear,No
FreshMart,Indiranagar,Bananas,Fruit,02-01-2024,Tuesday,68,25 INR,25 INR,Yes,Clear,No
FreshMart,Indiranagar,Potatoes,Vegetable,02-01-2024,Tuesday,124,18 INR,18 INR,No,Rainy,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,02-01-2024,Tuesday,63,15 INR,15 INR,No,Clear,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,02-01-2024,Tuesday,106,30 INR,30 INR,No,Cloudy,No
UrbanBite,Indiranagar,Apples,Fruit,02-01-2024,Tuesday,41,60 INR,50 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Cabbage,Vegetable,02-01-2024,Tuesday,60,20 INR,10 INR,Yes,Clear,No
UrbanBite,Indiranagar,Bananas,Fruit,02-01-2024,Tuesday,105,25 INR,15 INR,No,Clear,No
UrbanBite,Indiranagar,Potatoes,Vegetable,02-01-2024,Tuesday,122,18 INR,8 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,02-01-2024,Tuesday,105,15 INR,10 INR,No,Rainy,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,02-01-2024,Tuesday,96,30 INR,15 INR,No,Cloudy,No
DailyGro,Indiranagar,Apples,Fruit,02-01-2024,Tuesday,90,60 INR,60 INR,No,Rainy,No
DailyGro,Indiranagar,Cabbage,Vegetable,02-01-2024,Tuesday,55,20 INR,10 INR,No,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,02-01-2024,Tuesday,78,25 INR,15 INR,No,Rainy,No
DailyGro,Indiranagar,Potatoes,Vegetable,02-01-2024,Tuesday,86,18 INR,8 INR,Yes,Rainy,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,02-01-2024,Tuesday,131,15 INR,15 INR,Yes,Clear,No
CityVeg,Indiranagar,Tomatoes,Vegetable,02-01-2024,Tuesday,110,30 INR,25 INR,No,Clear,Yes
CityVeg,Indiranagar,Apples,Fruit,02-01-2024,Tuesday,47,60 INR,55 INR,No,Clear,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,02-01-2024,Tuesday,109,20 INR,20 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Bananas,Fruit,02-01-2024,Tuesday,88,25 INR,15 INR,Yes,Clear,No
CityVeg,Indiranagar,Potatoes,Vegetable,02-01-2024,Tuesday,79,18 INR,8 INR,Yes,Rainy,No
CityVeg,Indiranagar,Spinach,Leafy Green,02-01-2024,Tuesday,118,15 INR,10 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Tomatoes,Vegetable,02-01-2024,Tuesday,130,30 INR,15 INR,No,Rainy,Yes
QuickKart,Indiranagar,Apples,Fruit,02-01-2024,Tuesday,127,60 INR,45 INR,Yes,Cloudy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,02-01-2024,Tuesday,74,20 INR,20 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Bananas,Fruit,02-01-2024,Tuesday,90,25 INR,25 INR,No,Rainy,No
QuickKart,Indiranagar,Potatoes,Vegetable,02-01-2024,Tuesday,109,18 INR,18 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,02-01-2024,Tuesday,129,15 INR,15 INR,Yes,Rainy,No
FreshMart,Indiranagar,Tomatoes,Vegetable,03-01-2024,Wednesday,85,30 INR,15 INR,Yes,Clear,No
FreshMart,Indiranagar,Apples,Fruit,03-01-2024,Wednesday,94,60 INR,60 INR,No,Cloudy,No
FreshMart,Indiranagar,Cabbage,Vegetable,03-01-2024,Wednesday,66,20 INR,10 INR,No,Rainy,No
FreshMart,Indiranagar,Bananas,Fruit,03-01-2024,Wednesday,64,25 INR,25 INR,No,Rainy,No
FreshMart,Indiranagar,Potatoes,Vegetable,03-01-2024,Wednesday,124,18 INR,13 INR,No,Rainy,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,03-01-2024,Wednesday,140,15 INR,0 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Tomatoes,Vegetable,03-01-2024,Wednesday,97,30 INR,30 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Apples,Fruit,03-01-2024,Wednesday,130,60 INR,50 INR,No,Cloudy,No
UrbanBite,Indiranagar,Cabbage,Vegetable,03-01-2024,Wednesday,110,20 INR,15 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Bananas,Fruit,03-01-2024,Wednesday,80,25 INR,10 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Potatoes,Vegetable,03-01-2024,Wednesday,110,18 INR,8 INR,Yes,Clear,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,03-01-2024,Wednesday,146,15 INR,15 INR,Yes,Cloudy,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,03-01-2024,Wednesday,98,30 INR,25 INR,Yes,Rainy,No
DailyGro,Indiranagar,Apples,Fruit,03-01-2024,Wednesday,146,60 INR,45 INR,No,Rainy,No
DailyGro,Indiranagar,Cabbage,Vegetable,03-01-2024,Wednesday,21,20 INR,15 INR,Yes,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,03-01-2024,Wednesday,124,25 INR,25 INR,No,Cloudy,No
DailyGro,Indiranagar,Potatoes,Vegetable,03-01-2024,Wednesday,102,18 INR,13 INR,Yes,Cloudy,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,03-01-2024,Wednesday,91,15 INR,15 INR,Yes,Rainy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,03-01-2024,Wednesday,102,30 INR,30 INR,No,Rainy,Yes
CityVeg,Indiranagar,Apples,Fruit,03-01-2024,Wednesday,40,60 INR,45 INR,No,Rainy,No
CityVeg,Indiranagar,Cabbage,Vegetable,03-01-2024,Wednesday,93,20 INR,5 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Bananas,Fruit,03-01-2024,Wednesday,110,25 INR,15 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,03-01-2024,Wednesday,144,18 INR,13 INR,No,Rainy,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,03-01-2024,Wednesday,84,15 INR,5 INR,Yes,Rainy,No
QuickKart,Indiranagar,Tomatoes,Vegetable,03-01-2024,Wednesday,75,30 INR,20 INR,No,Rainy,No
QuickKart,Indiranagar,Apples,Fruit,03-01-2024,Wednesday,84,60 INR,45 INR,Yes,Rainy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,03-01-2024,Wednesday,127,20 INR,5 INR,No,Rainy,No
QuickKart,Indiranagar,Bananas,Fruit,03-01-2024,Wednesday,109,25 INR,10 INR,Yes,Rainy,No
QuickKart,Indiranagar,Potatoes,Vegetable,03-01-2024,Wednesday,84,18 INR,8 INR,No,Clear,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,03-01-2024,Wednesday,115,15 INR,15 INR,Yes,Clear,No
FreshMart,Indiranagar,Tomatoes,Vegetable,04-01-2024,Thursday,102,30 INR,15 INR,Yes,Cloudy,No
FreshMart,Indiranagar,Apples,Fruit,04-01-2024,Thursday,129,60 INR,50 INR,No,Rainy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,04-01-2024,Thursday,78,20 INR,5 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Bananas,Fruit,04-01-2024,Thursday,90,25 INR,25 INR,No,Clear,No
FreshMart,Indiranagar,Potatoes,Vegetable,04-01-2024,Thursday,88,18 INR,3 INR,No,Clear,No
FreshMart,Indiranagar,Spinach,Leafy Green,04-01-2024,Thursday,56,15 INR,10 INR,No,Rainy,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,04-01-2024,Thursday,108,30 INR,25 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Apples,Fruit,04-01-2024,Thursday,107,60 INR,45 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,04-01-2024,Thursday,100,20 INR,5 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,04-01-2024,Thursday,92,25 INR,10 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,04-01-2024,Thursday,57,18 INR,13 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,04-01-2024,Thursday,87,15 INR,0 INR,No,Clear,No
DailyGro,Indiranagar,Tomatoes,Vegetable,04-01-2024,Thursday,89,30 INR,25 INR,No,Clear,No
DailyGro,Indiranagar,Apples,Fruit,04-01-2024,Thursday,75,60 INR,45 INR,Yes,Rainy,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,04-01-2024,Thursday,95,20 INR,5 INR,Yes,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,04-01-2024,Thursday,112,25 INR,10 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Potatoes,Vegetable,04-01-2024,Thursday,156,18 INR,13 INR,No,Cloudy,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,04-01-2024,Thursday,105,15 INR,0 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Tomatoes,Vegetable,04-01-2024,Thursday,107,30 INR,25 INR,Yes,Cloudy,Yes
CityVeg,Indiranagar,Apples,Fruit,04-01-2024,Thursday,97,60 INR,60 INR,Yes,Cloudy,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,04-01-2024,Thursday,42,20 INR,5 INR,No,Cloudy,No
CityVeg,Indiranagar,Bananas,Fruit,04-01-2024,Thursday,99,25 INR,20 INR,No,Clear,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,04-01-2024,Thursday,101,18 INR,18 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Spinach,Leafy Green,04-01-2024,Thursday,173,15 INR,15 INR,No,Rainy,Yes
QuickKart,Indiranagar,Tomatoes,Vegetable,04-01-2024,Thursday,94,30 INR,15 INR,No,Rainy,No
QuickKart,Indiranagar,Apples,Fruit,04-01-2024,Thursday,109,60 INR,55 INR,No,Rainy,No
QuickKart,Indiranagar,Cabbage,Vegetable,04-01-2024,Thursday,98,20 INR,20 INR,Yes,Rainy,No
QuickKart,Indiranagar,Bananas,Fruit,04-01-2024,Thursday,64,25 INR,15 INR,No,Cloudy,No
QuickKart,Indiranagar,Potatoes,Vegetable,04-01-2024,Thursday,134,18 INR,18 INR,Yes,Rainy,No
QuickKart,Indiranagar,Spinach,Leafy Green,04-01-2024,Thursday,122,15 INR,5 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,05-01-2024,Friday,123,30 INR,25 INR,Yes,Cloudy,No
FreshMart,Indiranagar,Apples,Fruit,05-01-2024,Friday,72,60 INR,45 INR,No,Cloudy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,05-01-2024,Friday,142,20 INR,10 INR,No,Clear,No
FreshMart,Indiranagar,Bananas,Fruit,05-01-2024,Friday,57,25 INR,20 INR,No,Cloudy,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,05-01-2024,Friday,117,18 INR,13 INR,No,Rainy,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,05-01-2024,Friday,165,15 INR,0 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,05-01-2024,Friday,70,30 INR,30 INR,Yes,Clear,No
UrbanBite,Indiranagar,Apples,Fruit,05-01-2024,Friday,83,60 INR,55 INR,Yes,Clear,No
UrbanBite,Indiranagar,Cabbage,Vegetable,05-01-2024,Friday,102,20 INR,5 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,05-01-2024,Friday,84,25 INR,25 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,05-01-2024,Friday,53,18 INR,3 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,05-01-2024,Friday,102,15 INR,10 INR,Yes,Cloudy,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,05-01-2024,Friday,68,30 INR,15 INR,No,Clear,Yes
DailyGro,Indiranagar,Apples,Fruit,05-01-2024,Friday,114,60 INR,60 INR,Yes,Clear,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,05-01-2024,Friday,72,20 INR,5 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Bananas,Fruit,05-01-2024,Friday,146,25 INR,10 INR,No,Rainy,No
DailyGro,Indiranagar,Potatoes,Vegetable,05-01-2024,Friday,76,18 INR,3 INR,No,Cloudy,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,05-01-2024,Friday,90,15 INR,10 INR,No,Clear,Yes
CityVeg,Indiranagar,Tomatoes,Vegetable,05-01-2024,Friday,124,30 INR,15 INR,No,Cloudy,No
CityVeg,Indiranagar,Apples,Fruit,05-01-2024,Friday,63,60 INR,45 INR,No,Rainy,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,05-01-2024,Friday,106,20 INR,5 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Bananas,Fruit,05-01-2024,Friday,139,25 INR,25 INR,No,Cloudy,No
CityVeg,Indiranagar,Potatoes,Vegetable,05-01-2024,Friday,51,18 INR,13 INR,Yes,Rainy,No
CityVeg,Indiranagar,Spinach,Leafy Green,05-01-2024,Friday,105,15 INR,15 INR,No,Rainy,Yes
QuickKart,Indiranagar,Tomatoes,Vegetable,05-01-2024,Friday,107,30 INR,15 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Apples,Fruit,05-01-2024,Friday,123,60 INR,55 INR,Yes,Clear,No
QuickKart,Indiranagar,Cabbage,Vegetable,05-01-2024,Friday,62,20 INR,20 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Bananas,Fruit,05-01-2024,Friday,60,25 INR,25 INR,Yes,Clear,No
QuickKart,Indiranagar,Potatoes,Vegetable,05-01-2024,Friday,115,18 INR,3 INR,Yes,Cloudy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,05-01-2024,Friday,108,15 INR,0 INR,No,Rainy,No
FreshMart,Indiranagar,Tomatoes,Vegetable,06-01-2024,Saturday,107,30 INR,25 INR,No,Cloudy,No
FreshMart,Indiranagar,Apples,Fruit,06-01-2024,Saturday,110,60 INR,45 INR,Yes,Clear,No
FreshMart,Indiranagar,Cabbage,Vegetable,06-01-2024,Saturday,79,20 INR,10 INR,No,Cloudy,Yes
FreshMart,Indiranagar,Bananas,Fruit,06-01-2024,Saturday,106,25 INR,15 INR,Yes,Cloudy,No
FreshMart,Indiranagar,Potatoes,Vegetable,06-01-2024,Saturday,108,18 INR,8 INR,No,Rainy,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,06-01-2024,Saturday,78,15 INR,15 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Tomatoes,Vegetable,06-01-2024,Saturday,155,30 INR,25 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Apples,Fruit,06-01-2024,Saturday,114,60 INR,55 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,06-01-2024,Saturday,64,20 INR,10 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Bananas,Fruit,06-01-2024,Saturday,119,25 INR,15 INR,Yes,Clear,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,06-01-2024,Saturday,70,18 INR,3 INR,No,Clear,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,06-01-2024,Saturday,123,15 INR,0 INR,No,Rainy,No
DailyGro,Indiranagar,Tomatoes,Vegetable,06-01-2024,Saturday,134,30 INR,20 INR,No,Clear,No
DailyGro,Indiranagar,Apples,Fruit,06-01-2024,Saturday,75,60 INR,45 INR,No,Cloudy,No
DailyGro,Indiranagar,Cabbage,Vegetable,06-01-2024,Saturday,128,20 INR,5 INR,No,Cloudy,Yes
DailyGro,Indiranagar,Bananas,Fruit,06-01-2024,Saturday,112,25 INR,15 INR,No,Clear,Yes
DailyGro,Indiranagar,Potatoes,Vegetable,06-01-2024,Saturday,124,18 INR,3 INR,No,Rainy,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,06-01-2024,Saturday,156,15 INR,5 INR,Yes,Rainy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,06-01-2024,Saturday,92,30 INR,30 INR,No,Clear,Yes
CityVeg,Indiranagar,Apples,Fruit,06-01-2024,Saturday,77,60 INR,60 INR,Yes,Clear,No
CityVeg,Indiranagar,Cabbage,Vegetable,06-01-2024,Saturday,73,20 INR,5 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Bananas,Fruit,06-01-2024,Saturday,75,25 INR,20 INR,No,Rainy,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,06-01-2024,Saturday,97,18 INR,18 INR,No,Clear,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,06-01-2024,Saturday,110,15 INR,15 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Tomatoes,Vegetable,06-01-2024,Saturday,108,30 INR,30 INR,No,Clear,No
QuickKart,Indiranagar,Apples,Fruit,06-01-2024,Saturday,124,60 INR,50 INR,No,Clear,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,06-01-2024,Saturday,100,20 INR,20 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Bananas,Fruit,06-01-2024,Saturday,143,25 INR,20 INR,No,Clear,Yes
QuickKart,Indiranagar,Potatoes,Vegetable,06-01-2024,Saturday,92,18 INR,13 INR,Yes,Rainy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,06-01-2024,Saturday,181,15 INR,15 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,07-01-2024,Sunday,118,30 INR,15 INR,No,Rainy,No
FreshMart,Indiranagar,Apples,Fruit,07-01-2024,Sunday,74,60 INR,60 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,07-01-2024,Sunday,67,20 INR,5 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Bananas,Fruit,07-01-2024,Sunday,114,25 INR,20 INR,No,Clear,No
FreshMart,Indiranagar,Potatoes,Vegetable,07-01-2024,Sunday,93,18 INR,3 INR,Yes,Clear,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,07-01-2024,Sunday,121,15 INR,15 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Tomatoes,Vegetable,07-01-2024,Sunday,114,30 INR,20 INR,No,Clear,Yes
UrbanBite,Indiranagar,Apples,Fruit,07-01-2024,Sunday,97,60 INR,45 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Cabbage,Vegetable,07-01-2024,Sunday,74,20 INR,5 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,07-01-2024,Sunday,54,25 INR,20 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,07-01-2024,Sunday,86,18 INR,8 INR,No,Clear,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,07-01-2024,Sunday,125,15 INR,5 INR,No,Clear,No
DailyGro,Indiranagar,Tomatoes,Vegetable,07-01-2024,Sunday,106,30 INR,15 INR,Yes,Clear,Yes
DailyGro,Indiranagar,Apples,Fruit,07-01-2024,Sunday,62,60 INR,60 INR,Yes,Rainy,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,07-01-2024,Sunday,105,20 INR,20 INR,No,Cloudy,No
DailyGro,Indiranagar,Bananas,Fruit,07-01-2024,Sunday,111,25 INR,25 INR,Yes,Rainy,No
DailyGro,Indiranagar,Potatoes,Vegetable,07-01-2024,Sunday,73,18 INR,13 INR,Yes,Clear,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,07-01-2024,Sunday,104,15 INR,5 INR,No,Rainy,Yes
CityVeg,Indiranagar,Tomatoes,Vegetable,07-01-2024,Sunday,101,30 INR,25 INR,No,Clear,Yes
CityVeg,Indiranagar,Apples,Fruit,07-01-2024,Sunday,65,60 INR,45 INR,No,Cloudy,No
CityVeg,Indiranagar,Cabbage,Vegetable,07-01-2024,Sunday,110,20 INR,5 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Bananas,Fruit,07-01-2024,Sunday,116,25 INR,15 INR,No,Cloudy,No
CityVeg,Indiranagar,Potatoes,Vegetable,07-01-2024,Sunday,132,18 INR,3 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,07-01-2024,Sunday,131,15 INR,10 INR,No,Clear,No
QuickKart,Indiranagar,Tomatoes,Vegetable,07-01-2024,Sunday,58,30 INR,30 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Apples,Fruit,07-01-2024,Sunday,71,60 INR,60 INR,No,Cloudy,No
QuickKart,Indiranagar,Cabbage,Vegetable,07-01-2024,Sunday,115,20 INR,5 INR,Yes,Clear,No
QuickKart,Indiranagar,Bananas,Fruit,07-01-2024,Sunday,115,25 INR,20 INR,Yes,Cloudy,Yes
QuickKart,Indiranagar,Potatoes,Vegetable,07-01-2024,Sunday,115,18 INR,13 INR,Yes,Clear,No
QuickKart,Indiranagar,Spinach,Leafy Green,07-01-2024,Sunday,215,15 INR,5 INR,Yes,Clear,No
FreshMart,Indiranagar,Tomatoes,Vegetable,08-01-2024,Monday,117,30 INR,25 INR,Yes,Clear,No
FreshMart,Indiranagar,Apples,Fruit,08-01-2024,Monday,134,60 INR,60 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,08-01-2024,Monday,128,20 INR,15 INR,Yes,Cloudy,No
FreshMart,Indiranagar,Bananas,Fruit,08-01-2024,Monday,119,25 INR,25 INR,Yes,Clear,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,08-01-2024,Monday,90,18 INR,13 INR,Yes,Clear,No
FreshMart,Indiranagar,Spinach,Leafy Green,08-01-2024,Monday,122,15 INR,5 INR,No,Clear,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,08-01-2024,Monday,76,30 INR,15 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Apples,Fruit,08-01-2024,Monday,92,60 INR,55 INR,No,Clear,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,08-01-2024,Monday,85,20 INR,20 INR,No,Rainy,No
UrbanBite,Indiranagar,Bananas,Fruit,08-01-2024,Monday,102,25 INR,25 INR,Yes,Clear,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,08-01-2024,Monday,169,18 INR,13 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,08-01-2024,Monday,43,15 INR,5 INR,No,Clear,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,08-01-2024,Monday,120,30 INR,30 INR,Yes,Rainy,No
DailyGro,Indiranagar,Apples,Fruit,08-01-2024,Monday,51,60 INR,50 INR,No,Rainy,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,08-01-2024,Monday,85,20 INR,5 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Bananas,Fruit,08-01-2024,Monday,132,25 INR,10 INR,Yes,Rainy,No
DailyGro,Indiranagar,Potatoes,Vegetable,08-01-2024,Monday,101,18 INR,3 INR,Yes,Rainy,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,08-01-2024,Monday,67,15 INR,5 INR,No,Cloudy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,08-01-2024,Monday,78,30 INR,20 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Apples,Fruit,08-01-2024,Monday,120,60 INR,50 INR,No,Rainy,No
CityVeg,Indiranagar,Cabbage,Vegetable,08-01-2024,Monday,78,20 INR,5 INR,Yes,Rainy,Yes
CityVeg,Indiranagar,Bananas,Fruit,08-01-2024,Monday,106,25 INR,20 INR,No,Clear,No
CityVeg,Indiranagar,Potatoes,Vegetable,08-01-2024,Monday,101,18 INR,3 INR,No,Rainy,Yes
